,City,Date,max_temp_f
194,Salt Lake,2018-07-04,85
195,Los Angeles,2018-07-04,80
196,Philadelphia,2018-07-07,79
197,Montreal,2018-07-07,79
198,New England,2018-07-07,86
199,Kansas City,2018-07-07,87
200,Houston,2018-07-07,88
201,Salt Lake,2018-07-07,88
202,Vancouver,2018-07-07,63
203,Los Angeles,2018-07-07,95
204,Los Angles,2018-07-07,51
205,Portland,2018-07-07,78
206,NYC,2018-07-08,83
207,NYC,2018-07-11,83
208,Chicago,2018-07-11,81
209,New Jersey,2018-07-14,88
210,NYC,2018-07-14,88
211,Montreal,2018-07-14,82
212,New England,2018-07-14,86
213,Dallas,2018-07-14,95
214,"Washington, D.C.",2018-07-14,82
215,Minnesota,2018-07-14,81
216,Orlando,2018-07-14,96
217,Colorado,2018-07-14,79
218,Atlanta,2018-07-15,90
219,Los Angles,2018-07-15,52
220,Minnesota,2018-07-18,77
221,Atlanta,2018-07-21,90
222,Seattle,2018-07-21,76
223,Chicago,2018-07-21,74
224,Philadelphia,2018-07-21,79
225,New Jersey,2018-07-21,76
226,Columbus,2018-07-21,78
227,Houston,2018-07-21,97
228,Salt Lake,2018-07-21,88
229,Portland,2018-07-21,78
230,Minnesota,2018-07-22,74
231,Houston,2018-07-25,93
232,"Washington, D.C.",2018-07-25,82
233,San Jose,2018-07-25,91
234,Orlando,2018-07-26,91
235,Los Angles,2018-07-26,56
236,Montreal,2018-07-28,80
237,New Jersey,2018-07-28,86
238,Toronto,2018-07-28,73
239,"Washington, D.C.",2018-07-28,82
240,Kansas City,2018-07-28,85
241,Vancouver,2018-07-28,71
242,San Jose,2018-07-28,88
243,Portland,2018-07-28,89
244,Seattle,2018-07-29,88
245,Los Angeles,2018-07-29,89
246,Atlanta,2018-08-04,90
247,Montreal,2018-08-04,87
248,Orlando,2018-08-04,92
249,Dallas,2018-08-04,95
250,Minnesota,2018-08-04,75
251,NYC,2018-08-04,87
252,Colorado,2018-08-04,82
253,Houston,2018-08-04,89
254,Salt Lake,2018-08-04,83
255,Portland,2018-08-04,83
256,New Jersey,2018-08-05,92
257,Columbus,2018-08-11,82
258,New England,2018-08-11,87
259,Chicago,2018-08-11,81
260,Colorado,2018-08-11,76
261,Salt Lake,2018-08-11,91
262,Los Angles,2018-08-11,56
263,Los Angeles,2018-08-11,88
264,Portland,2018-08-11,75
265,Toronto,2018-08-12,81
266,"Washington, D.C.",2018-08-12,82
267,Seattle,2018-08-12,73
268,Los Angeles,2018-08-14,83
269,"Washington, D.C.",2018-08-15,82
270,Los Angles,2018-08-15,58
271,Seattle,2018-08-18,77
272,Philadelphia,2018-08-18,89
273,Vancouver,2018-08-18,68
274,Montreal,2018-08-18,78
275,Kansas City,2018-08-18,89
276,Houston,2018-08-18,93
277,San Jose,2018-08-18,92
278,Dallas,2018-08-18,101
279,Atlanta,2018-08-19,86
280,"Washington, D.C.",2018-08-19,83
281,Los Angles,2018-08-19,48
282,NYC,2018-08-22,84
283,Chicago,2018-08-23,76
284,Houston,2018-08-23,94
285,Orlando,2018-08-24,89
286,Los Angeles,2018-08-24,81
287,Philadelphia,2018-08-25,83
288,Toronto,2018-08-25,77
289,Kansas City,2018-08-25,93
290,Colorado,2018-08-25,78
291,San Jose,2018-08-25,83
292,New Jersey,2018-08-26,84
293,Portland,2018-08-26,66
294,New Jersey,2018-08-29,93
295,"Washington, D.C.",2018-08-29,83
296,San Jose,2018-08-29,78
297,Portland,2018-08-29,85
298,Seattle,2018-09-01,70
299,Montreal,2018-09-01,80
300,New England,2018-09-01,85
301,Orlando,2018-09-01,89
302,Columbus,2018-09-01,86
303,Dallas,2018-09-01,93
304,Toronto,2018-09-01,84
305,Salt Lake,2018-09-01,75
306,Vancouver,2018-09-01,60
307,"Washington, D.C.",2018-09-02,83
308,NYC,2018-09-05,88
309,NYC,2018-09-08,71
310,Kansas City,2018-09-08,70
311,Portland,2018-09-08,75
312,"Washington, D.C.",2018-09-12,83
313,Colorado,2018-09-15,80
314,Philadelphia,2018-09-15,81
315,Toronto,2018-09-15,83
316,Dallas,2018-09-15,89
317,Houston,2018-09-15,88
318,Salt Lake,2018-09-15,83
319,Vancouver,2018-09-15,55
320,Los Angles,2018-09-15,65
321,San Jose,2018-09-15,71
322,"Washington, D.C.",2018-09-16,84
323,Chicago,2018-09-16,80
324,Portland,2018-09-19,70
325,Seattle,2018-09-19,67
326,San Jose,2018-09-19,79
327,Los Angles,2018-09-22,69
328,New Jersey,2018-09-22,72
329,Atlanta,2018-09-22,90
330,Columbus,2018-09-22,65
331,Montreal,2018-09-22,63
332,New England,2018-09-22,86
333,Orlando,2018-09-22,89
334,Minnesota,2018-09-22,62
335,Philadelphia,2018-09-23,65
336,Los Angeles,2018-09-23,78
337,Vancouver,2018-09-23,54
338,NYC,2018-09-26,81
339,Chicago,2018-09-29,57
340,Seattle,2018-09-29,71
341,"Washington, D.C.",2018-09-29,84
342,Columbus,2018-09-29,70
343,Toronto,2018-09-29,60
344,Minnesota,2018-09-29,48
345,Houston,2018-09-29,79
346,Los Angeles,2018-09-29,76
347,Portland,2018-09-29,66
348,New Jersey,2018-09-30,71
349,Kansas City,2018-09-30,76
350,Montreal,2018-10-06,53
351,Atlanta,2018-10-06,90
352,Toronto,2018-10-06,70
353,Philadelphia,2018-10-06,72
354,Dallas,2018-10-06,87
355,Kansas City,2018-10-06,71
356,Colorado,2018-10-06,49
357,Salt Lake,2018-10-06,53
358,San Jose,2018-10-06,72
359,"Washington, D.C.",2018-10-07,84
360,Seattle,2018-10-08,56
361,Los Angles,2018-10-12,58
362,Minnesota,2018-10-13,53
363,"Washington, D.C.",2018-10-13,83
364,New England,2018-10-13,83
365,Orlando,2018-10-17,92
366,"Washington, D.C.",2018-10-17,84
367,Vancouver,2018-10-17,60
368,Salt Lake,2018-10-18,54
369,Atlanta,2018-10-21,63
370,"Washington, D.C.",2018-10-21,83
371,Montreal,2018-10-21,42
372,Orlando,2018-10-21,80
373,Philadelphia,2018-10-21,51
374,Dallas,2018-10-21,68
375,Houston,2018-10-21,73
376,Los Angles,2018-10-21,61
377,Minnesota,2018-10-21,51
378,Portland,2018-10-21,68
379,San Jose,2018-10-21,74
380,Chicago,2018-10-28,50
381,Colorado,2018-10-28,63
382,Kansas City,2018-10-28,64
383,Los Angeles,2018-10-28,79
384,New England,2018-10-28,84
385,NYC,2018-10-28,53
386,New Jersey,2018-10-28,53
387,Seattle,2018-10-28,56
388,Toronto,2018-10-28,44
389,Vancouver,2018-10-28,50
390,Columbus,2018-10-28,55
