,Date,City,Home Team,Home Goals,Visitor Team,Visitor Goals,Attendance,Stadium,Percentage Filled,Unix,Stadium ID
0,3/3/18,Toronto,Toronto FC,0.0,Columbus Crew SC,2.0,"26,633",BMO Field,89%,1520035200.0,5.0
1,3/3/18,Houston,Houston Dynamo,4.0,Atlanta United,0.0,"20,377",BBVA Stadium,92%,1520035200.0,3.0
2,3/3/18,Philadelphia,Philadelphia Union,2.0,New England Revolution,0.0,"16,452",Subaru Park,89%,1520035200.0,23.0
3,3/3/18,Orlando,Orlando City SC,1.0,"Washington, D.C.",1.0,"25,527",Exploria Stadium,100%,1520035200.0,11.0
4,3/3/18,Dallas,FC Dallas,1.0,Real Salt Lake,1.0,"16,116",Toyota Stadium,79%,1520035200.0,24.0
5,3/3/18,San Jose,San Jose Earthquakes,3.0,Minnesota United,2.0,"18,000",Earthquakes Stadium,100%,1520035200.0,10.0
6,3/4/18,Seattle,Seattle Sounders FC,0.0,Los Angles,1.0,"40,070",CenturyLink Field,102%,1520121600.0,6.0
7,3/4/18,Vancouver,Vancuver Whitecaps,2.0,Montreal Impact,1.0,"27,837",BC Place,126%,1520121600.0,4.0
8,3/4/18,Kansas City,Sporting Kansas City,0.0,NYC,2.0,"20,831",Children's Mercy Park,113%,1520121600.0,7.0
9,3/4/18,Los Angeles,LA Galaxy,2.0,Portland Timbers,1.0,"25,462",Dignity Health Sports Park,94%,1520121600.0,9.0
10,3/10/18,Columbus,Columbus Crew SC,3.0,Montreal Impact,2.0,"11,098",Mapfre Stadium,56%,1520640000.0,14.0
11,3/10/18,New England,New England Revolution,2.0,Colorado Rapids,1.0,"13,305",Gillette Stadium,67%,1520640000.0,12.0
12,3/10/18,Salt Lake,Real Salt Lake,1.0,Los Angles,5.0,"20,706",Rio Tinto Stadium,102%,1520640000.0,20.0
13,3/10/18,Chicago,Chicago Fire,3.0,Sporting Kansas City,4.0,"14,021",Toyota Stadium,70%,1520640000.0,24.0
14,3/10/18,Houston,Houston Dynamo,1.0,Vancuver Whitecaps,2.0,"16,082",BBVA Stadium,73%,1520640000.0,3.0
15,3/10/18,New Jersey,New York Red Bull,4.0,Portland Timbers,0.0,"18,374",Red Bull Arena,73%,1520640000.0,19.0
16,3/10/18,Orlando,Orlando City SC,1.0,Minnesota United,2.0,"24,038",Exploria Stadium,94%,1520640000.0,11.0
17,3/11/18,Atlanta,Atlanta United,3.0,"Washington, D.C.",1.0,"72,035",Bobby Dodd Stadium,131%,1520726400.0,27.0
18,3/11/18,NYC,NYC,2.0,LA Galaxy,1.0,"26,221",Yankee Stadium,86%,1520726400.0,25.0
19,3/17/18,"Washington, D.C.","Washington, D.C.",2.0,Houston Dynamo,2.0,"5,128",RFK Stadium,26%,1521244800.0,42.0
20,3/17/18,Minnesota,Minnesota United,2.0,Chicago Fire,1.0,"23,138",TCF Bank Stadium,106%,1521244800.0,48.0
21,3/17/18,Philadelphia,Philadelphia Union,0.0,Columbus Crew SC,0.0,"15,323",Subaru Park,83%,1521244800.0,23.0
22,3/17/18,Montreal,Montreal Impact,1.0,Toronto FC,0.0,"26,005",Saputo Stadium,125%,1521244800.0,21.0
23,3/17/18,NYC,NYC,2.0,Orlando City SC,0.0,"18,584",Yankee Stadium,61%,1521244800.0,25.0
24,3/17/18,Atlanta,Atlanta United,4.0,Vancuver Whitecaps,1.0,"45,003",Bobby Dodd Stadium,82%,1521244800.0,27.0
25,3/17/18,Kansas City,Sporting Kansas City,3.0,San Jose Earthquakes,2.0,"18,868",Children's Mercy Park,102%,1521244800.0,7.0
26,3/17/18,Salt Lake,Real Salt Lake,1.0,New York Red Bull,0.0,"16,334",Rio Tinto Stadium,81%,1521244800.0,20.0
27,3/18/18,Dallas,FC Dallas,3.0,Seattle Sounders FC,0.0,"13,310",Toyota Stadium,65%,1521331200.0,24.0
28,3/24/18,New England,New England Revolution,2.0,NYC,2.0,"12,376",Gillette Stadium,62%,1521849600.0,12.0
29,3/24/18,Dallas,FC Dallas,1.0,Portland Timbers,1.0,"13,851",Toyota Stadium,68%,1521849600.0,24.0
30,3/24/18,Columbus,Columbus Crew SC,3.0,"Washington, D.C.",1.0,"8,443",Mapfre Stadium,42%,1521849600.0,14.0
31,3/24/18,New Jersey,New York Red Bull,3.0,Minnesota United,0.0,"14,768",Red Bull Arena,59%,1521849600.0,19.0
32,3/24/18,Colorado,Colorado Rapids,2.0,Sporting Kansas City,2.0,"17,424",Dick's Sporting Goods Park,96%,1521849600.0,8.0
33,3/24/18,Vancouver,Vancuver Whitecaps,0.0,LA Galaxy,0.0,"22,120",BC Place,100%,1521849600.0,4.0
34,3/30/18,Toronto,Toronto FC,3.0,Real Salt Lake,1.0,"28,006",BMO Field,93%,1522368000.0,5.0
35,3/31/18,Orlando,Orlando City SC,4.0,New York Red Bull,3.0,"23,257",Exploria Stadium,91%,1522454400.0,11.0
36,3/31/18,Los Angeles,LA Galaxy,4.0,Los Angles,3.0,"27,068",Dignity Health Sports Park,100%,1522454400.0,9.0
37,3/31/18,Columbus,Columbus Crew SC,1.0,Vancuver Whitecaps,2.0,"8,992",Mapfre Stadium,45%,1522454400.0,14.0
38,3/31/18,Chicago,Chicago Fire,2.0,Portland Timbers,2.0,"13,678",Toyota Stadium,68%,1522454400.0,24.0
39,3/31/18,San Jose,San Jose Earthquakes,1.0,NYC,2.0,"18,000",Earthquakes Stadium,100%,1522454400.0,10.0
40,3/31/18,Minnesota,Minnesota United,0.0,Atlanta United,1.0,"18,057",TCF Bank Stadium,82%,1522454400.0,48.0
41,3/31/18,Houston,Houston Dynamo,0.0,New England Revolution,2.0,"17,156",BBVA Stadium,78%,1522454400.0,3.0
42,3/31/18,Kansas City,Sporting Kansas City,1.0,"Washington, D.C.",0.0,"18,624",Children's Mercy Park,101%,1522454400.0,7.0
43,3/31/18,Colorado,Colorado Rapids,3.0,Philadelphia Union,0.0,"10,790",Dick's Sporting Goods Park,60%,1522454400.0,8.0
44,3/31/18,Seattle,Seattle Sounders FC,0.0,Montreal Impact,1.0,"39,469",CenturyLink Field,100%,1522454400.0,6.0
45,4/6/18,New England,New England Revolution,4.0,Montreal Impact,0.0,"10,908",Gillette Stadium,55%,1522972800.0,12.0
46,4/7/18,Atlanta,Atlanta United,5.0,Los Angles,0.0,"45,207",Bobby Dodd Stadium,82%,1523059200.0,27.0
47,4/7/18,Philadelphia,Philadelphia Union,1.0,San Jose Earthquakes,1.0,"14,795",Subaru Park,80%,1523059200.0,23.0
48,4/7/18,Dallas,FC Dallas,1.0,Colorado Rapids,1.0,"13,147",Toyota Stadium,64%,1523059200.0,24.0
49,4/7/18,Chicago,Chicago Fire,1.0,Columbus Crew SC,0.0,"11,023",Toyota Stadium,55%,1523059200.0,24.0
50,4/7/18,Salt Lake,Real Salt Lake,2.0,Vancuver Whitecaps,1.0,"16,015",Rio Tinto Stadium,79%,1523059200.0,20.0
51,4/8/18,Orlando,Orlando City SC,3.0,Portland Timbers,2.0,"22,337",Exploria Stadium,88%,1523145600.0,11.0
52,4/8/18,Los Angeles,LA Galaxy,0.0,Sporting Kansas City,2.0,"25,846",Dignity Health Sports Park,96%,1523145600.0,9.0
53,4/11/18,NYC,NYC,4.0,Real Salt Lake,0.0,"18,603",Yankee Stadium,61%,1523404800.0,25.0
54,4/13/18,Philadelphia,Philadelphia Union,0.0,Orlando City SC,2.0,"16,032",Subaru Park,87%,1523577600.0,23.0
55,4/13/18,Vancouver,Vancuver Whitecaps,0.0,Los Angles,2.0,"22,120",BC Place,100%,1523577600.0,4.0
56,4/14/18,New Jersey,New York Red Bull,3.0,Montreal Impact,1.0,"15,017",Red Bull Arena,60%,1523664000.0,19.0
57,4/14/18,Colorado,Colorado Rapids,2.0,Toronto FC,0.0,"11,232",Dick's Sporting Goods Park,62%,1523664000.0,8.0
58,4/14/18,Chicago,Chicago Fire,0.0,LA Galaxy,1.0,"21,915",Toyota Stadium,110%,1523664000.0,24.0
59,4/14/18,"Washington, D.C.","Washington, D.C.",1.0,Columbus Crew SC,0.0,"12,396",RFK Stadium,62%,1523664000.0,42.0
60,4/14/18,New England,New England Revolution,0.0,FC Dallas,1.0,"11,508",Gillette Stadium,58%,1523664000.0,12.0
61,4/14/18,Portland,Portland Timbers,3.0,Minnesota United,2.0,"21,144",Providence Park,100%,1523664000.0,18.0
62,4/14/18,San Jose,San Jose Earthquakes,2.0,Houston Dynamo,2.0,"17,822",Earthquakes Stadium,99%,1523664000.0,10.0
63,4/15/18,Kansas City,Sporting Kansas City,2.0,Seattle Sounders FC,2.0,"18,508",Children's Mercy Park,100%,1523750400.0,7.0
64,4/15/18,Atlanta,Atlanta United,2.0,NYC,2.0,"45,001",Bobby Dodd Stadium,82%,1523750400.0,27.0
65,4/20/18,Kansas City,Sporting Kansas City,6.0,Vancuver Whitecaps,0.0,"19,690",Children's Mercy Park,107%,1524182400.0,7.0
66,4/21/18,Montreal,Montreal Impact,3.0,Los Angles,5.0,"20,302",Saputo Stadium,98%,1524268800.0,21.0
67,4/21/18,Houston,Houston Dynamo,5.0,Toronto FC,1.0,"17,109",BBVA Stadium,78%,1524268800.0,3.0
68,4/21/18,New Jersey,New York Red Bull,1.0,Chicago Fire,2.0,"18,784",Red Bull Arena,75%,1524268800.0,19.0
69,4/21/18,Columbus,Columbus Crew SC,2.0,New England Revolution,2.0,"11,264",Mapfre Stadium,56%,1524268800.0,14.0
70,4/21/18,Orlando,Orlando City SC,3.0,San Jose Earthquakes,2.0,"25,527",Exploria Stadium,100%,1524268800.0,11.0
71,4/21/18,Dallas,FC Dallas,2.0,Philadelphia Union,0.0,"13,326",Toyota Stadium,65%,1524268800.0,24.0
72,4/21/18,Salt Lake,Real Salt Lake,3.0,Colorado Rapids,0.0,"17,461",Rio Tinto Stadium,86%,1524268800.0,20.0
73,4/21/18,Los Angeles,LA Galaxy,0.0,Atlanta United,2.0,"25,846",Dignity Health Sports Park,96%,1524268800.0,9.0
74,4/22/18,Seattle,Seattle Sounders FC,3.0,Minnesota United,1.0,"39,477",CenturyLink Field,100%,1524355200.0,6.0
75,4/22/18,Portland,Portland Timbers,3.0,NYC,0.0,"21,144",Providence Park,100%,1524355200.0,18.0
76,4/27/18,Vancouver,Vancuver Whitecaps,2.0,Real Salt Lake,0.0,"19,283",BC Place,87%,1524787200.0,4.0
77,4/28/18,Atlanta,Atlanta United,4.0,Montreal Impact,1.0,"45,039",Bobby Dodd Stadium,82%,1524873600.0,27.0
78,4/28/18,Toronto,Toronto FC,2.0,Chicago Fire,2.0,"26,331",BMO Field,88%,1524873600.0,5.0
79,4/28/18,Philadelphia,Philadelphia Union,3.0,"Washington, D.C.",2.0,"16,493",Subaru Park,89%,1524873600.0,23.0
80,4/28/18,Columbus,Columbus Crew SC,2.0,San Jose Earthquakes,1.0,"11,479",Mapfre Stadium,57%,1524873600.0,14.0
81,4/28/18,New England,New England Revolution,1.0,Sporting Kansas City,0.0,"17,015",Gillette Stadium,85%,1524873600.0,12.0
82,4/28/18,Minnesota,Minnesota United,2.0,Houston Dynamo,1.0,"21,574",TCF Bank Stadium,99%,1524873600.0,48.0
83,4/28/18,Los Angeles,LA Galaxy,2.0,New York Red Bull,3.0,"26,704",Dignity Health Sports Park,99%,1524873600.0,9.0
84,4/29/18,Colorado,Colorado Rapids,1.0,Orlando City SC,2.0,"15,702",Dick's Sporting Goods Park,87%,1524960000.0,8.0
85,4/29/18,NYC,NYC,3.0,FC Dallas,1.0,"22,115",Yankee Stadium,73%,1524960000.0,25.0
86,4/29/18,Los Angles,Los Angles,1.0,Seattle Sounders FC,0.0,"22,000",Banc of California Stadium,100%,1524960000.0,2.0
87,5/4/18,Toronto,Toronto FC,3.0,Philadelphia Union,0.0,"24,728",BMO Field,82%,1525392000.0,5.0
88,5/5/18,Montreal,Montreal Impact,4.0,New England Revolution,2.0,"15,622",Saputo Stadium,75%,1525478400.0,21.0
89,5/5/18,New Jersey,New York Red Bull,4.0,NYC,0.0,"25,219",Red Bull Arena,101%,1525478400.0,19.0
90,5/5/18,Minnesota,Minnesota United,1.0,Vancuver Whitecaps,0.0,"19,642",TCF Bank Stadium,90%,1525478400.0,48.0
91,5/5/18,Los Angles,Los Angles,1.0,FC Dallas,1.0,"22,000",Banc of California Stadium,100%,1525478400.0,2.0
92,5/5/18,Seattle,Seattle Sounders FC,0.0,Columbus Crew SC,0.0,"39,515",CenturyLink Field,100%,1525478400.0,6.0
93,5/5/18,Chicago,Chicago Fire,1.0,Atlanta United,2.0,"15,024",Toyota Stadium,75%,1525478400.0,24.0
94,5/5/18,Houston,Houston Dynamo,3.0,LA Galaxy,2.0,"22,320",BBVA Stadium,101%,1525478400.0,3.0
95,5/5/18,Kansas City,Sporting Kansas City,1.0,Colorado Rapids,0.0,"20,553",Children's Mercy Park,111%,1525478400.0,7.0
96,5/5/18,San Jose,San Jose Earthquakes,0.0,Portland Timbers,1.0,"17,850",Earthquakes Stadium,99%,1525478400.0,10.0
97,5/6/18,Orlando,Orlando City SC,3.0,Real Salt Lake,1.0,"23,258",Exploria Stadium,91%,1525564800.0,11.0
98,5/9/18,Atlanta,Atlanta United,0.0,Sporting Kansas City,2.0,"44,696",Bobby Dodd Stadium,81%,1525824000.0,27.0
99,5/9/18,Columbus,Columbus Crew SC,1.0,Philadelphia Union,0.0,"7,683",Mapfre Stadium,38%,1525824000.0,14.0
100,5/9/18,Toronto,Toronto FC,1.0,Seattle Sounders FC,2.0,"26,089",BMO Field,87%,1525824000.0,5.0
101,5/9/18,Chicago,Chicago Fire,1.0,Montreal Impact,0.0,"10,067",Toyota Stadium,50%,1525824000.0,24.0
102,5/9/18,Los Angles,Los Angles,2.0,Minnesota United,0.0,"22,000",Banc of California Stadium,100%,1525824000.0,2.0
103,5/11/18,Vancouver,Vancuver Whitecaps,2.0,Houston Dynamo,2.0,"18,813",BC Place,85%,1525996800.0,4.0
104,5/12/18,Minnesota,Minnesota United,1.0,San Jose Earthquakes,3.0,"19,721",TCF Bank Stadium,90%,1526083200.0,48.0
105,5/12/18,Montreal,Montreal Impact,0.0,Philadelphia Union,2.0,"17,140",Saputo Stadium,82%,1526083200.0,21.0
106,5/12/18,Dallas,FC Dallas,3.0,LA Galaxy,2.0,"18,355",Toyota Stadium,90%,1526083200.0,24.0
107,5/12/18,Columbus,Columbus Crew SC,3.0,Chicago Fire,0.0,"11,108",Mapfre Stadium,56%,1526083200.0,14.0
108,5/12/18,New England,New England Revolution,3.0,Toronto FC,2.0,"19,596",Gillette Stadium,98%,1526083200.0,12.0
109,5/12/18,Colorado,Colorado Rapids,1.0,New York Red Bull,2.0,"15,691",Dick's Sporting Goods Park,87%,1526083200.0,8.0
110,5/12/18,Salt Lake,Real Salt Lake,3.0,"Washington, D.C.",2.0,"16,961",Rio Tinto Stadium,84%,1526083200.0,20.0
111,5/13/18,Portland,Portland Timbers,1.0,Seattle Sounders FC,0.0,"21,144",Providence Park,100%,1526169600.0,18.0
112,5/13/18,Orlando,Orlando City SC,1.0,Atlanta United,2.0,"24,232",Exploria Stadium,95%,1526169600.0,11.0
113,5/13/18,Los Angles,Los Angles,2.0,NYC,2.0,"22,000",Banc of California Stadium,100%,1526169600.0,2.0
114,5/16/18,Vancouver,Vancuver Whitecaps,2.0,San Jose Earthquakes,2.0,"17,357",BC Place,78%,1526428800.0,4.0
115,5/18/18,Toronto,Toronto FC,2.0,Orlando City SC,1.0,"28,009",BMO Field,93%,1526601600.0,5.0
116,5/19/18,NYC,NYC,4.0,Colorado Rapids,0.0,"21,494",Yankee Stadium,71%,1526688000.0,25.0
117,5/19/18,Portland,Portland Timbers,2.0,Los Angles,1.0,"21,144",Providence Park,100%,1526688000.0,18.0
118,5/19/18,Dallas,FC Dallas,2.0,Vancuver Whitecaps,2.0,"13,907",Toyota Stadium,68%,1526688000.0,24.0
119,5/19/18,New England,New England Revolution,0.0,Columbus Crew SC,1.0,"14,087",Gillette Stadium,70%,1526688000.0,12.0
120,5/19/18,Philadelphia,Philadelphia Union,4.0,Real Salt Lake,1.0,"16,019",Subaru Park,87%,1526688000.0,23.0
121,5/19/18,San Jose,San Jose Earthquakes,1.0,"Washington, D.C.",3.0,"17,644",Earthquakes Stadium,98%,1526688000.0,10.0
122,5/19/18,Minnesota,Minnesota United,1.0,Sporting Kansas City,1.0,"23,117",TCF Bank Stadium,106%,1526688000.0,48.0
123,5/19/18,Chicago,Chicago Fire,2.0,Houston Dynamo,3.0,"14,206",Toyota Stadium,71%,1526688000.0,24.0
124,5/20/18,Atlanta,Atlanta United,1.0,New York Red Bull,3.0,"45,089",Bobby Dodd Stadium,82%,1526774400.0,27.0
125,5/21/18,Montreal,Montreal Impact,0.0,LA Galaxy,1.0,"20,801",Saputo Stadium,100%,1526860800.0,21.0
126,5/25/18,Toronto,Toronto FC,0.0,FC Dallas,1.0,"27,549",BMO Field,92%,1527206400.0,5.0
127,5/25/18,Houston,Houston Dynamo,3.0,NYC,1.0,"18,123",BBVA Stadium,82%,1527206400.0,3.0
128,5/25/18,Los Angeles,LA Galaxy,1.0,San Jose Earthquakes,0.0,"23,118",Dignity Health Sports Park,86%,1527206400.0,9.0
129,5/26/18,Seattle,Seattle Sounders FC,0.0,Real Salt Lake,1.0,"39,508",CenturyLink Field,100%,1527292800.0,6.0
130,5/26/18,Vancouver,Vancuver Whitecaps,3.0,New England Revolution,3.0,"22,120",BC Place,100%,1527292800.0,4.0
131,5/26/18,New Jersey,New York Red Bull,0.0,Philadelphia Union,0.0,"17,814",Red Bull Arena,71%,1527292800.0,19.0
132,5/26/18,Orlando,Orlando City SC,1.0,Chicago Fire,2.0,"25,288",Exploria Stadium,99%,1527292800.0,11.0
133,5/26/18,Minnesota,Minnesota United,2.0,Montreal Impact,0.0,"21,331",TCF Bank Stadium,97%,1527292800.0,48.0
134,5/26/18,Colorado,Colorado Rapids,2.0,Portland Timbers,3.0,"17,424",Dick's Sporting Goods Park,96%,1527292800.0,8.0
135,5/26/18,Los Angles,Los Angles,1.0,"Washington, D.C.",1.0,"22,000",Banc of California Stadium,100%,1527292800.0,2.0
136,5/27/18,Kansas City,Sporting Kansas City,0.0,Columbus Crew SC,0.0,"20,697",Children's Mercy Park,112%,1527379200.0,7.0
137,5/30/18,New England,New England Revolution,1.0,Atlanta United,1.0,"10,547",Gillette Stadium,53%,1527638400.0,12.0
138,5/30/18,Philadelphia,Philadelphia Union,3.0,Chicago Fire,1.0,"14,805",Subaru Park,80%,1527638400.0,23.0
139,5/30/18,Salt Lake,Real Salt Lake,2.0,Houston Dynamo,1.0,"16,613",Rio Tinto Stadium,82%,1527638400.0,20.0
140,5/30/18,Los Angeles,LA Galaxy,2.0,FC Dallas,3.0,"18,003",Dignity Health Sports Park,67%,1527638400.0,9.0
141,6/1/18,Colorado,Colorado Rapids,1.0,Vancuver Whitecaps,2.0,"16,746",Dick's Sporting Goods Park,93%,1527811200.0,8.0
142,6/2/18,Portland,Portland Timbers,1.0,LA Galaxy,1.0,"21,144",Providence Park,100%,1527897600.0,18.0
143,6/2/18,Atlanta,Atlanta United,3.0,Philadelphia Union,1.0,"45,140",Bobby Dodd Stadium,82%,1527897600.0,27.0
144,6/2/18,Columbus,Columbus Crew SC,3.0,Toronto FC,3.0,"12,305",Mapfre Stadium,62%,1527897600.0,14.0
145,6/2/18,Montreal,Montreal Impact,1.0,Houston Dynamo,0.0,"17,512",Saputo Stadium,84%,1527897600.0,21.0
146,6/2/18,New England,New England Revolution,2.0,New York Red Bull,1.0,"21,576",Gillette Stadium,108%,1527897600.0,12.0
147,6/2/18,NYC,NYC,3.0,Orlando City SC,0.0,"22,103",Yankee Stadium,73%,1527897600.0,25.0
148,6/2/18,Dallas,FC Dallas,2.0,Los Angles,1.0,"14,022",Toyota Stadium,68%,1527897600.0,24.0
149,6/2/18,Chicago,Chicago Fire,2.0,San Jose Earthquakes,1.0,"14,138",Toyota Stadium,71%,1527897600.0,24.0
150,6/2/18,Salt Lake,Real Salt Lake,2.0,Seattle Sounders FC,0.0,"18,556",Rio Tinto Stadium,92%,1527897600.0,20.0
151,6/3/18,Kansas City,Sporting Kansas City,4.0,Minnesota United,1.0,"20,422",Children's Mercy Park,111%,1527984000.0,7.0
152,6/8/18,Philadelphia,Philadelphia Union,0.0,Toronto FC,2.0,"16,493",Subaru Park,89%,1528416000.0,23.0
153,6/9/18,NYC,NYC,1.0,Atlanta United,1.0,"25,628",Yankee Stadium,85%,1528502400.0,25.0
154,6/9/18,Columbus,Columbus Crew SC,1.0,New York Red Bull,1.0,"11,246",Mapfre Stadium,56%,1528502400.0,14.0
155,6/9/18,Vancouver,Vancuver Whitecaps,5.0,Orlando City SC,2.0,"22,120",BC Place,100%,1528502400.0,4.0
156,6/9/18,Dallas,FC Dallas,2.0,Montreal Impact,0.0,"13,506",Toyota Stadium,66%,1528502400.0,24.0
157,6/9/18,Chicago,Chicago Fire,1.0,New England Revolution,1.0,"14,415",Toyota Stadium,72%,1528502400.0,24.0
158,6/9/18,Houston,Houston Dynamo,2.0,Colorado Rapids,0.0,"16,058",BBVA Stadium,73%,1528502400.0,3.0
159,6/9/18,Seattle,Seattle Sounders FC,2.0,"Washington, D.C.",1.0,"39,465",CenturyLink Field,100%,1528502400.0,6.0
160,6/9/18,Los Angeles,LA Galaxy,3.0,Real Salt Lake,0.0,"25,462",Dignity Health Sports Park,94%,1528502400.0,9.0
161,6/9/18,Portland,Portland Timbers,0.0,Sporting Kansas City,0.0,"21,144",Providence Park,100%,1528502400.0,18.0
162,6/9/18,San Jose,San Jose Earthquakes,3.0,Los Angles,4.0,"17,650",Earthquakes Stadium,98%,1528502400.0,10.0
163,6/13/18,Montreal,Montreal Impact,3.0,Orlando City SC,0.0,"15,621",Saputo Stadium,75%,1528848000.0,21.0
164,6/13/18,Columbus,Columbus Crew SC,0.0,Atlanta United,2.0,"10,132",Mapfre Stadium,51%,1528848000.0,14.0
165,6/13/18,Toronto,Toronto FC,4.0,"Washington, D.C.",4.0,"23,011",BMO Field,77%,1528848000.0,5.0
166,6/13/18,New Jersey,New York Red Bull,2.0,Seattle Sounders FC,1.0,"15,553",Red Bull Arena,62%,1528848000.0,19.0
167,6/13/18,Colorado,Colorado Rapids,2.0,Chicago Fire,2.0,"16,068",Dick's Sporting Goods Park,89%,1528848000.0,8.0
168,6/13/18,San Jose,San Jose Earthquakes,2.0,New England Revolution,2.0,"16,234",Earthquakes Stadium,90%,1528848000.0,10.0
169,6/23/18,Philadelphia,Philadelphia Union,4.0,Vancuver Whitecaps,0.0,"15,250",Subaru Park,82%,1529712000.0,23.0
170,6/23/18,New Jersey,New York Red Bull,3.0,FC Dallas,0.0,"20,827",Red Bull Arena,83%,1529712000.0,19.0
171,6/23/18,Orlando,Orlando City SC,0.0,Montreal Impact,2.0,"23,498",Exploria Stadium,92%,1529712000.0,11.0
172,6/23/18,Kansas City,Sporting Kansas City,3.0,Houston Dynamo,2.0,"20,081",Children's Mercy Park,109%,1529712000.0,7.0
173,6/23/18,Colorado,Colorado Rapids,3.0,Minnesota United,2.0,"13,664",Dick's Sporting Goods Park,76%,1529712000.0,8.0
174,6/23/18,Salt Lake,Real Salt Lake,1.0,San Jose Earthquakes,1.0,"18,472",Rio Tinto Stadium,91%,1529712000.0,20.0
175,6/23/18,Seattle,Seattle Sounders FC,1.0,Chicago Fire,1.0,"39,513",CenturyLink Field,100%,1529712000.0,6.0
176,6/23/18,Los Angles,Los Angles,2.0,Columbus Crew SC,0.0,"22,000",Banc of California Stadium,100%,1529712000.0,2.0
177,6/24/18,Atlanta,Atlanta United,1.0,Portland Timbers,1.0,"45,116",Bobby Dodd Stadium,82%,1529798400.0,27.0
178,6/24/18,NYC,NYC,2.0,Toronto FC,1.0,"23,930",Yankee Stadium,79%,1529798400.0,25.0
179,6/29/18,Minnesota,Minnesota United,0.0,FC Dallas,1.0,"22,345",TCF Bank Stadium,102%,1530230400.0,48.0
